cik,ticker,title,exchange,assetType,priceCurrency,startDate,endDate
1750,AIR,AAR CORP,NYSE,Stock,USD,1984-07-19,2021-04-16
1800,ABT,ABBOTT LABORATORIES,NYSE,Stock,USD,1983-04-06,2021-04-16
1961,WDDD,WORLDS INC,OTCQB,Stock,USD,1998-10-20,2021-04-16
2098,ACU,ACME UNITED CORP,NYSE MKT,Stock,USD,1984-09-07,2021-04-16
2178,AE,"ADAMS RESOURCES & ENERGY, INC.",NYSE MKT,Stock,USD,1984-09-07,2021-04-16
2186,BKTI,BK Technologies Corp,NYSE MKT,Stock,USD,1990-06-25,2021-04-16
2488,AMD,ADVANCED MICRO DEVICES INC,NASDAQ,Stock,USD,1983-03-21,2021-04-16
2809,AEM,AGNICO EAGLE MINES LTD,NYSE,Stock,USD,1984-09-07,2021-04-16
2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/,NYSE,Stock,USD,1983-04-06,2021-04-16
3124,AKZOF,AKZO NOBEL NV,OTCQX,Stock,USD,2007-07-23,2021-04-16
3153,APRCP,ALABAMA POWER CO,PINK,Stock,USD,2011-02-22,2021-04-16
3197,CECE,CECO ENVIRONMENTAL CORP,NASDAQ,Stock,USD,1992-09-29,2021-04-16
3453,MATX,"Matson, Inc.",NYSE,Stock,USD,1973-05-03,2021-04-16
3499,ALX,ALEXANDERS INC,NYSE,Stock,USD,1984-07-19,2021-04-16
3545,ALCO,"ALICO, INC.",NASDAQ,Stock,USD,1973-05-03,2021-04-16
3570,LNG,"Cheniere Energy, Inc.",NYSE MKT,Stock,USD,1994-04-04,2021-04-16
4127,SWKS,"SKYWORKS SOLUTIONS, INC.",NASDAQ,Stock,USD,1984-09-07,2021-04-16
4281,HWM,Howmet Aerospace Inc.,NYSE,Stock,USD,1962-01-02,2021-04-16
4447,HES,HESS CORP,NYSE,Stock,USD,1983-04-06,2021-04-16
4457,UHAL,AMERCO /NV/,NASDAQ,Stock,USD,1994-11-04,2021-04-16
4904,AEP,AMERICAN ELECTRIC POWER CO INC,NASDAQ,Stock,USD,1970-01-02,2021-04-16
4962,AXP,AMERICAN EXPRESS CO,NYSE,Stock,USD,1972-06-01,2021-04-16
4977,AFL,AFLAC INC,NYSE,Stock,USD,1984-07-19,2021-04-16
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",NYSE,Stock,USD,1984-09-07,2021-04-16
5513,UNM,Unum Group,NYSE,Stock,USD,1986-11-06,2021-04-16
5656,AIVN,AMERICAN INTERNATIONAL VENTURES INC /DE/,PINK,Stock,USD,2000-04-20,2021-04-16
5981,AVD,AMERICAN VANGUARD CORP,NYSE,Stock,USD,1988-06-22,2021-04-16
6176,AP,AMPCO PITTSBURGH CORP,NYSE,Stock,USD,1984-07-19,2021-04-16
6201,AAL,American Airlines Group Inc.,NASDAQ,Stock,USD,2005-09-27,2021-04-16
6207,AXR,AMREP CORP.,NYSE,Stock,USD,1973-05-03,2021-04-16
6281,ADI,ANALOG DEVICES INC,NASDAQ,Stock,USD,1984-07-19,2021-04-16
6494,ANDR,ANDREA ELECTRONICS CORP,OTCQB,Stock,USD,2005-09-12,2021-04-16
6845,APOG,"APOGEE ENTERPRISES, INC.",NASDAQ,Stock,USD,1973-05-03,2021-04-16
6951,AMAT,APPLIED MATERIALS INC /DE,NASDAQ,Stock,USD,1984-09-07,2021-04-16
6955,EPAC,ENERPAC TOOL GROUP CORP,NYSE,Stock,USD,2000-07-24,2021-04-16
7039,TREC,TRECORA RESOURCES,NYSE,Stock,USD,2006-07-31,2021-04-16
7084,ADM,Archer-Daniels-Midland Co,NYSE,Stock,USD,1983-04-05,2021-04-16
7323,EAI,"ENTERGY ARKANSAS, LLC",NYSE,Stock,USD,2016-08-17,2021-04-16
7332,SWN,SOUTHWESTERN ENERGY CO,NYSE,Stock,USD,1987-12-30,2021-04-16
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC,NYSE,Stock,USD,2006-10-18,2021-04-16
7536,ARW,ARROW ELECTRONICS INC,NYSE,Stock,USD,1984-07-19,2021-04-16
7623,ARTW,ARTS WAY MANUFACTURING CO INC,NASDAQ,Stock,USD,1984-09-07,2021-04-16
7646,ASGLF,AGC Inc./ADR,PINK,Stock,USD,2007-08-22,2021-04-16
7789,ASB,ASSOCIATED BANC-CORP,NYSE,Stock,USD,1984-09-07,2021-04-16
8063,ATRO,ASTRONICS CORP,NASDAQ,Stock,USD,1984-09-07,2021-04-16
8146,ALOT,"AstroNova, Inc.",NASDAQ,Stock,USD,1984-09-07,2021-04-16
8177,AAME,ATLANTIC AMERICAN CORP,NASDAQ,Stock,USD,1984-09-07,2021-04-16
8328,AMNL,"Applied Minerals, Inc.",PINK,Stock,USD,2005-01-03,2021-04-16
8504,UAVS,AgEagle Aerial Systems Inc.,NYSE MKT,Stock,USD,2018-03-26,2021-04-16
8670,ADP,AUTOMATIC DATA PROCESSING INC,NASDAQ,Stock,USD,1983-04-06,2021-04-16
8818,AVY,Avery Dennison Corp,NYSE,Stock,USD,1983-12-29,2021-04-16
8858,AVT,AVNET INC,NASDAQ,Stock,USD,1973-05-03,2021-04-16
8947,AZZ,AZZ INC,NYSE,Stock,USD,1984-09-07,2021-04-16
9092,BMI,BADGER METER INC,NYSE,Stock,USD,1984-09-07,2021-04-16
9326,BCPC,BALCHEM CORP,NASDAQ,Stock,USD,1986-06-03,2021-04-16
9346,PTVCA,Protective Insurance Corp,NASDAQ,Stock,USD,2001-01-02,2021-04-16
9389,BLL,BALL Corp,NYSE,Stock,USD,1984-09-07,2021-04-16
9521,BCV-PA,BANCROFT FUND LTD,,,,,
9631,BNS,BANK OF NOVA SCOTIA,NYSE,Stock,USD,1999-09-13,2021-04-16
9984,B,BARNES GROUP INC,NYSE,Stock,USD,1984-09-07,2021-04-16
10048,BRN,BARNWELL INDUSTRIES INC,NYSE MKT,Stock,USD,1984-09-07,2021-04-16
10254,ESTE,EARTHSTONE ENERGY INC,NYSE,Stock,USD,1997-01-06,2021-04-16
10329,BSET,BASSETT FURNITURE INDUSTRIES INC,NASDAQ,Stock,USD,1984-09-07,2021-04-16
10456,BAX,BAXTER INTERNATIONAL INC,NYSE,Stock,USD,1981-10-27,2021-04-16
10795,BDX,BECTON DICKINSON & CO,NYSE,Stock,USD,1983-04-06,2021-04-16
11544,WRB,BERKLEY W R CORP,NYSE,Stock,USD,1984-09-07,2021-04-16
12040,BDL,FLANIGANS ENTERPRISES INC,NYSE MKT,Stock,USD,1984-09-07,2021-04-16
12208,BIO,"BIO-RAD LABORATORIES, INC.",NYSE,Stock,USD,1980-02-27,2021-04-16
12239,AIKI,AIkido Pharma Inc.,NASDAQ,Stock,USD,1984-09-07,2021-04-16
12659,HRB,H&R BLOCK INC,NYSE,Stock,USD,1986-11-12,2021-04-16
12927,BA,BOEING CO,NYSE,Stock,USD,1962-01-02,2021-04-16
13156,GLXZ,"Galaxy Gaming, Inc.",OTCQB,Stock,USD,2009-09-24,2021-04-16
13573,BWL-A,BOWL AMERICA INC,NYSE MKT,Stock,USD,1984-09-07,2021-04-16
14177,BRID,BRIDGFORD FOODS CORP,NASDAQ,Stock,USD,1984-09-07,2021-04-16
